part_number,name,category,bom_category,brand,unit,purchase_price,purchase_currency,kg_per_metre,is_enclosure_cubicle,is_placeholder,source_file,flags
3VJ9218-0UV36,Left U/V Release 220V AC (3VJ11 & 12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,29.04,EUR,,no,no,component-catalog-ALL.csv,
3VJ9218-0UV37,Left U/V Release 415V AC (3VJ11 & 12),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,29.04,EUR,,no,no,component-catalog-ALL.csv,
3VJ9417-0AA21,Left Alarm Switch (3VJ13 & 14),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,7.33,EUR,,no,no,component-catalog-ALL.csv,
3VJ9417-0AD11,Left Aux + Alarm Switch (3VJ12 & 13),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,14.56,EUR,,no,no,component-catalog-ALL.csv,
3VJ9417-0AD21,Right Aux + Alarm Switch (3VJ12 & 13),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,14.56,EUR,,no,no,component-catalog-ALL.csv,
3VJ9417-0AN11,Left Aux Switch (3VJ13 & 14),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,7.33,EUR,,no,no,component-catalog-ALL.csv,
3VJ9417-0AN21,Right Aux Switch (3VJ13 & 14),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,7.33,EUR,,no,no,component-catalog-ALL.csv,
3VJ9417-0DH10,Toogle Handle Extension(3VJ14),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,7.41,EUR,,no,no,component-catalog-ALL.csv,
3VJ9417-0HD11,Door Mounted Rotary Operator (3VJ13 & 14),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,39.6,EUR,,no,no,component-catalog-ALL.csv,
3VJ9417-0ST21,Right Shunt Trip 24V AC/DC (3VJ13 & 14),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,24.86,EUR,,no,no,component-catalog-ALL.csv,
3VJ9417-0ST22,Right Shunt Trip 48V AC/DC (3VJ13 & 14),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,24.86,EUR,,no,no,component-catalog-ALL.csv,
3VJ9417-0ST25,Right Shunt Trip 110V AC/DC (3VJ13 & 14),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,24.86,EUR,,no,no,component-catalog-ALL.csv,
3VJ9417-0ST36,Right Shunt Trip 220V AC (3VJ13 & 14),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,24.86,EUR,,no,no,component-catalog-ALL.csv,
3VJ9417-0ST37,Right Shunt Trip 415V AC (3VJ12 & 13),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,24.86,EUR,,no,no,component-catalog-ALL.csv,
3VJ9417-0UV36,Left U/V Release 220V AC (3VJ13 & 14),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,32.12,EUR,,no,no,component-catalog-ALL.csv,
3VJ9417-0UV37,Left U/V Release 415V AC (3VJ13 & 14),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,32.12,EUR,,no,no,component-catalog-ALL.csv,
100X10MM,100X10MM,BUSBAR,busbar,,m,135,EUR,8.960,no,no,component-catalog-ALL.csv,
20X10MM,20X10MM,BUSBAR,busbar,,m,27,EUR,1.792,no,no,component-catalog-ALL.csv,
20X5MM,20X5MM,BUSBAR,busbar,,m,13.5,EUR,0.896,no,no,component-catalog-ALL.csv,
30X10MM,30X10MM,BUSBAR,busbar,,m,42,EUR,2.688,no,no,component-catalog-ALL.csv,
30X5MM,30X5MM,BUSBAR,busbar,,m,21,EUR,1.344,no,no,component-catalog-ALL.csv,
40X10MM,40X10MM,BUSBAR,busbar,,m,54,EUR,3.584,no,no,component-catalog-ALL.csv,
40X5MM,40X5MM,BUSBAR,busbar,,m,27,EUR,1.792,no,no,component-catalog-ALL.csv,
50X10MM,50X10MM,BUSBAR,busbar,,m,69,EUR,4.480,no,no,component-catalog-ALL.csv,
60X10MM,60X10MM,BUSBAR,busbar,,m,81,EUR,5.376,no,no,component-catalog-ALL.csv,
80X10MM,80X10MM,BUSBAR,busbar,,m,108,EUR,7.168,no,no,component-catalog-ALL.csv,
LK 34 -125A,LK 34 -125A,BUSBAR-LINK,busbar,LINKWELL,pcs,31.5,EUR,,no,no,component-catalog-ALL.csv,
LK 34 -250A,LK 34 -250A,BUSBAR-LINK,busbar,LINKWELL,pcs,31.5,EUR,,no,no,component-catalog-ALL.csv,
LK-125A,LK-125A,BUSBAR-LINK,busbar,LINKWELL,pcs,3.77,EUR,,no,no,component-catalog-ALL.csv,
LK-160A,LK-160A,BUSBAR-LINK,busbar,LINKWELL,pcs,4.39,EUR,,no,no,component-catalog-ALL.csv,
LK-80A,LK-80A,BUSBAR-LINK,busbar,LINKWELL,pcs,2.4,EUR,,no,no,component-catalog-ALL.csv,
10SQMM,10SQMM,CABLE,busbar,,m,1.75,EUR,,no,no,component-catalog-ALL.csv,
16SQMM,16SQMM,CABLE,busbar,,m,2.95,EUR,,no,no,component-catalog-ALL.csv,
25SQMM,25SQMM,CABLE,busbar,,m,3.45,EUR,,no,no,component-catalog-ALL.csv,
35SQMM,35SQMM,CABLE,busbar,,m,4.95,EUR,,no,no,component-catalog-ALL.csv,
4SQMM,4SQMM,CABLE,busbar,,m,0.7,EUR,,no,no,component-catalog-ALL.csv,
50SQMM,50SQMM,CABLE,busbar,,m,7.85,EUR,,no,no,component-catalog-ALL.csv,
6SQMM,6SQMM,CABLE,busbar,,m,0.9,EUR,,no,no,component-catalog-ALL.csv,
70SQMM,70SQMM,CABLE,busbar,,m,10.2,EUR,,no,no,component-catalog-ALL.csv,
95SQMM,95SQMM,CABLE,busbar,,m,13.85,EUR,,no,no,component-catalog-ALL.csv,
1000(W)X1000(H)X300(D),1000(W)X1000(H)X300(D),ENCLOSURE,enclosure_parts,LOCAL,pcs,180,EUR,,yes,no,component-catalog-ALL.csv,
1000(W)X800(H)X300(D),1000(W)X800(H)X300(D),ENCLOSURE,enclosure_parts,LOCAL,pcs,135,EUR,,yes,no,component-catalog-ALL.csv,
400(W)X400(D)X1600(H)-2B,400(W)X400(D)X1600(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,120,EUR,,yes,no,component-catalog-ENCLOSURE.csv,
400(W)X400(D)X2100(H)-2B,400(W)X400(D)X2100(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,150,EUR,,yes,no,component-catalog-ALL.csv,
400(W)X600(D)X1600(H)-2B,400(W)X600(D)X1600(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,140,EUR,,yes,no,component-catalog-ENCLOSURE.csv,
400(W)X600(D)X2100(H)-2B,400(W)X600(D)X2100(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,175,EUR,,yes,no,component-catalog-ALL.csv,
400(W)X800(D)X1600(H)-2B,400(W)X800(D)X1600(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,160,EUR,,yes,no,component-catalog-ENCLOSURE.csv,
400(W)X800(D)X2100(H)-2B,400(W)X800(D)X2100(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,200,EUR,,yes,no,component-catalog-ALL.csv,
600(W)X400(D)X1600(H)-2B,600(W)X400(D)X1600(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,165,EUR,,yes,no,component-catalog-ENCLOSURE.csv,
600(W)X400(D)X2100(H)-2B,600(W)X400(D)X2100(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,210,EUR,,yes,no,component-catalog-ALL.csv,
600(W)X600(D)X1600(H)-2B,600(W)X600(D)X1600(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,192.5,EUR,,yes,no,component-catalog-ENCLOSURE.csv,
600(W)X600(D)X2100(H)-2B,600(W)X600(D)X2100(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,245,EUR,,yes,no,component-catalog-ALL.csv,
600(W)X600(H)X250(D),600(W)X600(H)X250(D),ENCLOSURE,enclosure_parts,LOCAL,pcs,60,EUR,,yes,no,component-catalog-ALL.csv,
600(W)X800(D)X1600(H)-2B,600(W)X800(D)X1600(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,220,EUR,,yes,no,component-catalog-ENCLOSURE.csv,
600(W)X800(D)X2100(H)-2B,600(W)X800(D)X2100(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,280,EUR,,yes,no,component-catalog-ALL.csv,
800(W)X400(D)X1600(H)-2B,800(W)X400(D)X1600(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,225,EUR,,yes,no,component-catalog-ENCLOSURE.csv,
800(W)X400(D)X2100(H)-2B,800(W)X400(D)X2100(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,285,EUR,,yes,no,component-catalog-ALL.csv,
800(W)X600(D)X1600(H)-2B,800(W)X600(D)X1600(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,262.5,EUR,,yes,no,component-catalog-ENCLOSURE.csv,
800(W)X600(D)X2100(H)-2B,800(W)X600(D)X2100(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,332.5,EUR,,yes,no,component-catalog-ALL.csv,
800(W)X600(H)X250(D),800(W)X600(H)X250(D),ENCLOSURE,enclosure_parts,LOCAL,pcs,90,EUR,,yes,no,component-catalog-ALL.csv,
800(W)X800(D)X1600(H)-2B,800(W)X800(D)X1600(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,300,EUR,,yes,no,component-catalog-ENCLOSURE.csv,
800(W)X800(D)X2100(H)-2B,800(W)X800(D)X2100(H)-2B,ENCLOSURE,enclosure_parts,LOCAL,pcs,380,EUR,,yes,no,component-catalog-ALL.csv,
800(W)X800(H)X250(D),800(W)X800(H)X250(D),ENCLOSURE,enclosure_parts,LOCAL,pcs,120,EUR,,yes,no,component-catalog-ALL.csv,
WX12N3PMFA (S),WM2 ACB 1250A 3P MF WITH MIRCROPRO4.1 RELAY,ACB,switchgear,C&S,pcs,925,EUR,,no,no,component-C&S.csv,
