kitGroup,labourGroup,kitName,mainPart,hoursPanelAssembly,hoursWiring,hoursBusbarFabrication
ATS-SWITCH,ATS-SWITCH,63A 4P RCCB 10KA 30MA-KIT,CSRBS4P63A30-10KA,,,
RCBO,RCBO,16A DP RCBO 30mA-KIT,CSRCB02PC16A30-10KA,,,
RCBO,RCBO,25A DP RCBO 30mA-KIT,CSRCB02PC25A30-10KA,,,
RCBO,RCBO,"32A, 100mA 1P+N RCBO 10KA 'C' Curve Type AC-KIT",CSRCB02PC32A100-10KA,,,
ATS,ATS,3200A 4P EDO WITH MIRCROPRO4.1 RELAY WM3 ACB- C&S ATS KIT,WX332H4P2EDOB (S),,,
ATS,ATS,2000A 4P EDO WITH MIRCROPRO4.1 RELAY WM2 ACB-C&S ATS KIT,WX20N4PEDOA (S),,,
ATS,ATS,1600A 4P EDO WITH MIRCROPRO4.1 RELAY WM2-C&S ATS KIT,WX16N4PEDOA (S),,,
ATS,ATS,1250A 4P EDO WITH MIRCROPRO4.1 RELAY WM2 ACB-C&S ATS KIT,WX12N4PEDOA (S),,,
SYNCHRONIZATION,SYNCHRONIZATION,3200A 4P EDO WITH MIRCROPRO4.1 RELAY WM3 ACB-C&S SYNC KIT,WX332H4P2EDOB (S),,,
SYNCHRONIZATION,SYNCHRONIZATION,2000A 4P EDO WITH MIRCROPRO4.1 RELAY WM2 ACB-C&S SYNC KIT,WX20N4PEDOA (S),,,
SYNCHRONIZATION,SYNCHRONIZATION,1600A 4P EDO WITH MIRCROPRO4.1 RELAY WM2-C&S SYNC KIT,WX16N4PEDOA (S),,,
SYNCHRONIZATION,SYNCHRONIZATION,1250A 4P EDO WITH MIRCROPRO4.1 RELAY WM2 ACB-C&S SYNC KIT,WX12N4PEDOA (S),,,
