partNumber,description,category,priceEur,purchaseCurrency,listSellingPrice,unit,brand,rating,poles,breakingCapacity,frameSize,notes
,,,,,,,,,,,,
RCBO,,,,,,,,,,,,
CSRCB02PC16A30-10KA,16A DP RCBO 30mA,,11.5,EUR,0,1,C&S,,,,,
CSRCB02PC25A30-10KA,25A DP RCBO 30mA ,,11.5,EUR,0,1,C&S,,,,,
CSRCB02PC32A100-10KA,"32A, 100mA 1P+N RCBO 10KA 'C' Curve Type AC ",,11.5,EUR,0,1,C&S,,,,,
CSRCB02PC40A30-10KA,40A DP RCBO 30mA  ,,12.5,EUR,0,1,C&S,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CSCOS2P63AXXX,63A DP 2Way Centre OFF MCB C/O Switch ,,5.75,EUR,0,1,C&S,,,,,
CSCOS4P63AXXX,63A FP 2Way Centre OFF MCB C/O Switch ,,11.75,EUR,0,1,C&S,,,,,
